p:(0.329524,0.142605),h:3,n:4,cr:1.08541;
p:(0.50465,0.00851732),h:0,n:0,cr:0;
p:(0.522195,0.000940946),h:0,n:0,cr:0;
p:(0.526563,0.126846),h:0,n:0,cr:0;
p:(0.80246,0.0778537),h:0,n:0,cr:0;
p:(0.837376,0.0506512),h:0,n:0,cr:0;
p:(0.854559,0.0459807),h:0,n:0,cr:0;
p:(0.864188,0.03824),h:0,n:0,cr:0;
p:(0.831781,0.013191),h:0,n:0,cr:0;
p:(0.804032,0.0350383),h:0,n:0,cr:0;
p:(0.789424,0.0164856),h:0,n:0,cr:0;
p:(0.784562,0.0208819),h:0,n:0,cr:0;
p:(0.778746,0.0266115),h:0,n:0,cr:0;
p:(0.760358,0.0291236),h:0,n:0,cr:0;
p:(0.719467,0.00672879),h:0,n:0,cr:0;
p:(0.893844,0.0153789),h:0,n:0,cr:0;
p:(0.850151,0.0759561),h:0,n:0,cr:0;
p:(0.85187,0.0674725),h:0,n:0,cr:0;
p:(0.884692,0.04392),h:0,n:0,cr:0;
p:(0.864286,0.0900497),h:0,n:0,cr:0;
p:(0.878977,0.100957),h:0,n:0,cr:0;
p:(0.90973,0.0807433),h:0,n:0,cr:0;
p:(0.844376,0.111959),h:0,n:0,cr:0;
p:(0.893961,0.0613333),h:0,n:0,cr:0;
p:(0.894332,0.117793),h:0,n:0,cr:0;
p:(0.891049,0.127709),h:0,n:0,cr:0;
p:(0.873248,0.131908),h:0,n:0,cr:0;
p:(0.809648,0.110002),h:0,n:0,cr:0;
p:(0.943149,0.0150942),h:0,n:0,cr:0;
p:(0.897452,0.0392981),h:0,n:0,cr:0;
p:(0.952988,0.0410411),h:0,n:0,cr:0;
p:(0.968794,0.087927),h:0,n:0,cr:0;
p:(0.98774,0.0434446),h:0,n:0,cr:0;
p:(0.991344,0.0133807),h:0,n:0,cr:0;
p:(0.982773,0.0191346),h:0,n:0,cr:0;
p:(0.813464,0.163373),h:0,n:0,cr:0;
p:(0.808121,0.133946),h:0,n:0,cr:0;
p:(0.346734,0.774295),h:0,n:0,cr:0;
p:(0.334797,0.748803),h:0,n:0,cr:0;
p:(0.346482,0.768504),h:0,n:0,cr:0;
p:(0.33359,0.764148),h:0,n:0,cr:0;
p:(0.347908,0.73681),h:0,n:0,cr:0;
p:(0.305934,0.743912),h:0,n:0,cr:0;
p:(0.385799,0.74564),h:0,n:0,cr:0;
p:(0.380103,0.737757),h:0,n:0,cr:0;
p:(0.390521,0.710169),h:0,n:0,cr:0;
p:(0.382725,0.708799),h:0,n:0,cr:0;
p:(0.351165,0.731672),h:0,n:0,cr:0;
p:(0.248739,0.781635),h:0,n:0,cr:0;
p:(0.258042,0.703401),h:0,n:0,cr:0;
p:(0.301566,0.686355),h:0,n:0,cr:0;
p:(0.296786,0.708598),h:0,n:0,cr:0;
p:(0.300588,0.685691),h:0,n:0,cr:0;
p:(0.307522,0.674989),h:0,n:0,cr:0;
p:(0.368978,0.704467),h:0,n:0,cr:0;
p:(0.446564,0.76011),h:0,n:0,cr:0;
p:(0.350785,0.794682),h:0,n:0,cr:0;
p:(0.316349,0.793424),h:0,n:0,cr:0;
p:(0.331836,0.826104),h:0,n:0,cr:0;
p:(0.305501,0.852776),h:0,n:0,cr:0;
p:(0.325242,0.826396),h:0,n:0,cr:0;
p:(0.302498,0.842231),h:0,n:0,cr:0;
p:(0.336212,0.833384),h:0,n:0,cr:0;
p:(0.320557,0.862225),h:0,n:0,cr:0;
p:(0.331572,0.874102),h:0,n:0,cr:0;
p:(0.268735,0.816762),h:0,n:0,cr:0;
p:(0.286803,0.827311),h:0,n:0,cr:0;
p:(0.4249,0.838736),h:0,n:0,cr:0;
p:(0.423198,0.802114),h:0,n:0,cr:0;
p:(0.391036,0.836786),h:0,n:0,cr:0;
p:(0.40111,0.886063),h:0,n:0,cr:0;
p:(0.381308,0.913788),h:0,n:0,cr:0;
p:(0.359103,0.882974),h:0,n:0,cr:0;
p:(0.336177,0.889568),h:0,n:0,cr:0;
p:(0.399681,0.862098),h:0,n:0,cr:0;
p:(0.411808,0.873338),h:0,n:0,cr:0;
p:(0.338251,0.92239),h:0,n:0,cr:0;
p:(0.325209,0.922191),h:0,n:0,cr:0;
p:(0.324555,0.91879),h:0,n:0,cr:0;
p:(0.361689,0.98176),h:0,n:0,cr:0;
p:(0.335059,0.997795),h:0,n:0,cr:0;
p:(0.283152,0.982698),h:0,n:0,cr:0;
p:(0.343721,0.951453),h:0,n:0,cr:0;
p:(0.427905,0.606738),h:0,n:0,cr:0;
p:(0.394561,0.639555),h:0,n:0,cr:0;
p:(0.406669,0.627855),h:0,n:0,cr:0;
p:(0.372035,0.582654),h:0,n:0,cr:0;
p:(0.360842,0.609394),h:0,n:0,cr:0;
p:(0.390034,0.602699),h:0,n:0,cr:0;
p:(0.41428,0.685675),h:0,n:0,cr:0;
p:(0.379149,0.669284),h:0,n:0,cr:0;
p:(0.304353,0.641933),h:0,n:0,cr:0;
p:(0.344892,0.651404),h:0,n:0,cr:0;
p:(0.348722,0.639427),h:0,n:0,cr:0;
p:(0.51596,0.656856),h:0,n:0,cr:0;
p:(0.500523,0.654217),h:0,n:0,cr:0;
p:(0.502037,0.642262),h:0,n:0,cr:0;
p:(0.510004,0.65873),h:0,n:0,cr:0;
p:(0.492836,0.62183),h:0,n:0,cr:0;
p:(0.494987,0.678532),h:0,n:0,cr:0;
p:(0.471231,0.649874),h:0,n:0,cr:0;
p:(0.234659,0.973691),h:0,n:0,cr:0;
p:(0.187467,0.985843),h:0,n:0,cr:0;
p:(0.258144,0.950764),h:0,n:0,cr:0;
p:(0.266666,0.945057),h:0,n:0,cr:0;
p:(0.254083,0.913791),h:0,n:0,cr:0;
p:(0.25738,0.888569),h:0,n:0,cr:0;
p:(0.266555,0.8853),h:0,n:0,cr:0;
p:(0.273551,0.907167),h:0,n:0,cr:0;
p:(0.186783,0.908036),h:0,n:0,cr:0;
p:(0.127882,0.980578),h:0,n:0,cr:0;
p:(0.154415,0.973243),h:0,n:0,cr:0;
p:(0.154997,0.979811),h:0,n:0,cr:0;
p:(0.235859,0.864927),h:0,n:0,cr:0;
p:(0.189036,0.80267),h:0,n:0,cr:0;
p:(0.207113,0.796813),h:0,n:0,cr:0;
p:(0.197823,0.833712),h:0,n:0,cr:0;
p:(0.185201,0.816251),h:0,n:0,cr:0;
p:(0.238069,0.831815),h:0,n:0,cr:0;
p:(0.235608,0.763454),h:0,n:0,cr:0;
p:(0.225903,0.770945),h:0,n:0,cr:0;
p:(0.234297,0.781435),h:0,n:0,cr:0;
p:(0.194808,0.759086),h:0,n:0,cr:0;
p:(0.245174,0.738789),h:0,n:0,cr:0;
p:(0.207767,0.75694),h:0,n:0,cr:0;
p:(0.248919,0.705386),h:0,n:0,cr:0;
p:(0.202013,0.736816),h:0,n:0,cr:0;
p:(0.202934,0.736062),h:0,n:0,cr:0;
p:(0.174694,0.798481),h:0,n:0,cr:0;
p:(0.151939,0.779752),h:0,n:0,cr:0;
p:(0.157279,0.771486),h:0,n:0,cr:0;
p:(0.164832,0.758113),h:0,n:0,cr:0;
p:(0.143521,0.776113),h:0,n:0,cr:0;
p:(0.105976,0.809027),h:0,n:0,cr:0;
p:(0.135653,0.814284),h:0,n:0,cr:0;
p:(0.196189,0.728725),h:0,n:0,cr:0;
p:(0.170466,0.714314),h:0,n:0,cr:0;
p:(0.183454,0.713543),h:0,n:0,cr:0;
p:(0.116588,0.717645),h:0,n:0,cr:0;
p:(0.142948,0.699518),h:0,n:0,cr:0;
p:(0.17238,0.731721),h:0,n:0,cr:0;
p:(0.15875,0.734837),h:0,n:0,cr:0;
p:(0.133635,0.775824),h:0,n:0,cr:0;
p:(0.123875,0.729492),h:0,n:0,cr:0;
p:(0.139274,0.731324),h:0,n:0,cr:0;
p:(0.0699542,0.781053),h:0,n:0,cr:0;
p:(0.200068,0.70517),h:0,n:0,cr:0;
p:(0.181775,0.676083),h:0,n:0,cr:0;
p:(0.193678,0.710721),h:0,n:0,cr:0;
p:(0.116996,0.660039),h:0,n:0,cr:0;
p:(0.153871,0.645483),h:0,n:0,cr:0;
p:(0.168395,0.643653),h:0,n:0,cr:0;
p:(0.117483,0.712108),h:0,n:0,cr:0;
p:(0.0812528,0.723607),h:0,n:0,cr:0;
p:(0.120377,0.689737),h:0,n:0,cr:0;
p:(0.140777,0.68857),h:0,n:0,cr:0;
p:(0.010121,0.759739),h:0,n:0,cr:0;
p:(0.0282962,0.785722),h:0,n:0,cr:0;
p:(0.0516582,0.751631),h:0,n:0,cr:0;
p:(0.00636212,0.753428),h:0,n:0,cr:0;
p:(0.0144611,0.745939),h:0,n:0,cr:0;
p:(0.0431716,0.778031),h:0,n:0,cr:0;
p:(0.0668373,0.635783),h:0,n:0,cr:0;
p:(0.061307,0.645366),h:0,n:0,cr:0;
p:(0.0451755,0.66007),h:0,n:0,cr:0;
p:(0.0545762,0.646918),h:0,n:0,cr:0;
p:(0.0224112,0.665056),h:0,n:0,cr:0;
p:(0.0118567,0.666162),h:0,n:0,cr:0;
p:(0.0784733,0.677571),h:0,n:0,cr:0;
p:(0.0270036,0.701424),h:0,n:0,cr:0;
p:(0.0469485,0.682811),h:0,n:0,cr:0;
p:(0.0208698,0.701136),h:0,n:0,cr:0;
p:(0.00824437,0.607385),h:0,n:0,cr:0;
p:(0.0122724,0.559133),h:0,n:0,cr:0;
p:(0.0184965,0.607519),h:0,n:0,cr:0;
p:(0.0149129,0.607534),h:0,n:0,cr:0;
p:(0.0395368,0.584813),h:0,n:0,cr:0;
p:(0.114827,0.638363),h:0,n:0,cr:0;
p:(0.110038,0.645048),h:0,n:0,cr:0;
p:(0.119936,0.620605),h:0,n:0,cr:0;
p:(0.127801,0.626315),h:0,n:0,cr:0;
p:(0.112367,0.505943),h:0,n:0,cr:0;
p:(0.116471,0.471972),h:0,n:0,cr:0;
p:(0.110787,0.541724),h:0,n:0,cr:0;
p:(0.0958383,0.576893),h:0,n:0,cr:0;
p:(0.100134,0.577142),h:0,n:0,cr:0;
p:(0.0803311,0.572142),h:0,n:0,cr:0;
p:(0.138201,0.53055),h:0,n:0,cr:0;
p:(0.139452,0.551495),h:0,n:0,cr:0;
p:(0.0995542,0.589582),h:0,n:0,cr:0;
p:(0.146319,0.490685),h:0,n:0,cr:0;
p:(0.137589,0.482739),h:0,n:0,cr:0;
p:(0.14709,0.521753),h:0,n:0,cr:0;
p:(0.140741,0.5198),h:0,n:0,cr:0;
p:(0.0873404,0.496073),h:0,n:0,cr:0;
p:(0.0877911,0.496221),h:0,n:0,cr:0;
p:(0.0905873,0.494438),h:0,n:0,cr:0;
p:(0.0775022,0.46952),h:0,n:0,cr:0;
p:(0.0890017,0.478325),h:0,n:0,cr:0;
p:(0.0470015,0.463153),h:0,n:0,cr:0;
p:(0.0473255,0.472143),h:0,n:0,cr:0;
p:(0.0301052,0.447393),h:0,n:0,cr:0;
p:(0.0212127,0.525896),h:0,n:0,cr:0;
p:(0.032252,0.540342),h:0,n:0,cr:0;
p:(0.00672002,0.550931),h:0,n:0,cr:0;
p:(0.0293247,0.517956),h:0,n:0,cr:0;
p:(0.00867862,0.446693),h:0,n:0,cr:0;
p:(0.00652762,0.47756),h:0,n:0,cr:0;
p:(0.23145,0.537016),h:0,n:0,cr:0;
p:(0.223175,0.526644),h:0,n:0,cr:0;
p:(0.238697,0.579912),h:0,n:0,cr:0;
p:(0.246273,0.602921),h:0,n:0,cr:0;
p:(0.282916,0.558649),h:0,n:0,cr:0;
p:(0.275528,0.583811),h:0,n:0,cr:0;
p:(0.339051,0.585131),h:0,n:0,cr:0;
p:(0.183018,0.571648),h:0,n:0,cr:0;
p:(0.20206,0.556116),h:0,n:0,cr:0;
p:(0.206966,0.516433),h:0,n:0,cr:0;
p:(0.185104,0.547171),h:0,n:0,cr:0;
p:(0.163533,0.529773),h:0,n:0,cr:0;
p:(0.167838,0.506021),h:0,n:0,cr:0;
p:(0.194281,0.611984),h:0,n:0,cr:0;
p:(0.20709,0.661492),h:0,n:0,cr:0;
p:(0.221392,0.660151),h:0,n:0,cr:0;
p:(0.262561,0.609878),h:0,n:0,cr:0;
p:(0.2765,0.615711),h:0,n:0,cr:0;
p:(0.287908,0.626509),h:0,n:0,cr:0;
p:(0.249477,0.628118),h:0,n:0,cr:0;
p:(0.229502,0.619958),h:0,n:0,cr:0;
p:(0.0638421,0.942298),h:0,n:0,cr:0;
p:(0.0487777,0.923285),h:0,n:0,cr:0;
p:(0.0274675,0.916937),h:0,n:0,cr:0;
p:(0.0383545,0.915079),h:0,n:0,cr:0;
p:(0.00422173,0.863697),h:0,n:0,cr:0;
p:(0.022168,0.868201),h:0,n:0,cr:0;
p:(0.0923358,0.936915),h:0,n:0,cr:0;
p:(0.0845993,0.928932),h:0,n:0,cr:0;
p:(0.0762051,0.919531),h:0,n:0,cr:0;
p:(0.0906047,0.899841),h:0,n:0,cr:0;
p:(0.0879593,0.917092),h:0,n:0,cr:0;
p:(0.0752831,0.848986),h:0,n:0,cr:0;
p:(0.0740587,0.881934),h:0,n:0,cr:0;
p:(0.0591248,0.952163),h:0,n:0,cr:0;
p:(0.0710603,0.953579),h:0,n:0,cr:0;
p:(0.00720731,0.929272),h:0,n:0,cr:0;
p:(0.0961492,0.99315),h:0,n:0,cr:0;
p:(0.028802,0.99428),h:0,n:0,cr:0;
p:(0.00837108,0.954738),h:0,n:0,cr:0;
p:(0.0739049,0.988032),h:0,n:0,cr:0;
p:(0.114396,0.869556),h:0,n:0,cr:0;
p:(0.12657,0.886637),h:0,n:0,cr:0;
p:(0.137218,0.851377),h:0,n:0,cr:0;
p:(0.12851,0.858417),h:0,n:0,cr:0;
p:(0.162063,0.864141),h:0,n:0,cr:0;
p:(0.196712,0.837608),h:0,n:0,cr:0;
p:(0.175271,0.849293),h:0,n:0,cr:0;
p:(0.143274,0.914459),h:0,n:0,cr:0;
p:(0.14197,0.914201),h:0,n:0,cr:0;
p:(0.149904,0.882101),h:0,n:0,cr:0;
p:(0.163686,0.873078),h:0,n:0,cr:0;
p:(0.220606,0.857573),h:0,n:0,cr:0;
p:(0.192084,0.869456),h:0,n:0,cr:0;
p:(0.463324,0.977989),h:0,n:0,cr:0;
p:(0.457396,0.940664),h:0,n:0,cr:0;
p:(0.473263,0.941108),h:0,n:0,cr:0;
p:(0.50121,0.987118),h:0,n:0,cr:0;
p:(0.499856,0.994325),h:0,n:0,cr:0;
p:(0.518117,0.956424),h:0,n:0,cr:0;
p:(0.501672,0.964118),h:0,n:0,cr:0;
p:(0.479371,0.97227),h:0,n:0,cr:0;
p:(0.382757,0.998206),h:0,n:0,cr:0;
p:(0.405803,0.991021),h:0,n:0,cr:0;
p:(0.443633,0.921605),h:0,n:0,cr:0;
p:(0.432274,0.900634),h:0,n:0,cr:0;
p:(0.441721,0.902415),h:0,n:0,cr:0;
p:(0.4448,0.90689),h:0,n:0,cr:0;
p:(0.516966,0.874794),h:0,n:0,cr:0;
p:(0.498774,0.891347),h:0,n:0,cr:0;
p:(0.462411,0.885426),h:0,n:0,cr:0;
p:(0.499018,0.930206),h:0,n:0,cr:0;
p:(0.437171,0.880459),h:0,n:0,cr:0;
p:(0.455995,0.897448),h:0,n:0,cr:0;
p:(0.588129,0.983614),h:0,n:0,cr:0;
p:(0.592471,0.937182),h:0,n:0,cr:0;
p:(0.548458,0.961591),h:0,n:0,cr:0;
p:(0.614441,0.982579),h:0,n:0,cr:0;
p:(0.60281,0.996876),h:0,n:0,cr:0;
p:(0.538771,0.943335),h:0,n:0,cr:0;
p:(0.522694,0.996945),h:0,n:0,cr:0;
p:(0.526184,0.967109),h:0,n:0,cr:0;
p:(0.643037,0.976665),h:0,n:0,cr:0;
p:(0.659652,0.958437),h:0,n:0,cr:0;
p:(0.642099,0.981775),h:0,n:0,cr:0;
p:(0.656759,0.95779),h:0,n:0,cr:0;
p:(0.632255,0.998507),h:0,n:0,cr:0;
p:(0.625869,0.917692),h:0,n:0,cr:0;
p:(0.542543,0.9178),h:0,n:0,cr:0;
p:(0.566246,0.782031),h:0,n:0,cr:0;
p:(0.533772,0.727141),h:0,n:0,cr:0;
p:(0.567124,0.759375),h:0,n:0,cr:0;
p:(0.538279,0.720927),h:0,n:0,cr:0;
p:(0.543387,0.716372),h:0,n:0,cr:0;
p:(0.561792,0.721158),h:0,n:0,cr:0;
p:(0.502883,0.795466),h:0,n:0,cr:0;
p:(0.509647,0.756241),h:0,n:0,cr:0;
p:(0.541208,0.791169),h:0,n:0,cr:0;
p:(0.507434,0.802487),h:0,n:0,cr:0;
p:(0.538278,0.794424),h:0,n:0,cr:0;
p:(0.491162,0.753396),h:0,n:0,cr:0;
p:(0.489657,0.752713),h:0,n:0,cr:0;
p:(0.482426,0.77575),h:0,n:0,cr:0;
p:(0.471345,0.734175),h:0,n:0,cr:0;
p:(0.604186,0.841377),h:0,n:0,cr:0;
p:(0.60897,0.842916),h:0,n:0,cr:0;
p:(0.675105,0.820451),h:0,n:0,cr:0;
p:(0.614081,0.854848),h:0,n:0,cr:0;
p:(0.621825,0.848044),h:0,n:0,cr:0;
p:(0.542743,0.831574),h:0,n:0,cr:0;
p:(0.570171,0.809713),h:0,n:0,cr:0;
p:(0.605748,0.767091),h:0,n:0,cr:0;
p:(0.571388,0.799424),h:0,n:0,cr:0;
p:(0.581218,0.785636),h:0,n:0,cr:0;
p:(0.585597,0.783445),h:0,n:0,cr:0;
p:(0.601399,0.873221),h:0,n:0,cr:0;
p:(0.562867,0.867819),h:0,n:0,cr:0;
p:(0.602488,0.892814),h:0,n:0,cr:0;
p:(0.57691,0.888023),h:0,n:0,cr:0;
p:(0.604284,0.878193),h:0,n:0,cr:0;
p:(0.659067,0.874855),h:0,n:0,cr:0;
p:(0.652644,0.889551),h:0,n:0,cr:0;
p:(0.64093,0.895599),h:0,n:0,cr:0;
p:(0.676664,0.887239),h:0,n:0,cr:0;
p:(0.671943,0.862415),h:0,n:0,cr:0;
p:(0.867143,0.664464),h:0,n:0,cr:0;
p:(0.84522,0.671975),h:0,n:0,cr:0;
p:(0.876612,0.663547),h:0,n:0,cr:0;
p:(0.918748,0.693128),h:0,n:0,cr:0;
p:(0.926974,0.674896),h:0,n:0,cr:0;
p:(0.893102,0.698483),h:0,n:0,cr:0;
p:(0.962787,0.68321),h:0,n:0,cr:0;
p:(0.850482,0.646881),h:0,n:0,cr:0;
p:(0.827642,0.673098),h:0,n:0,cr:0;
p:(0.919325,0.565863),h:0,n:0,cr:0;
p:(0.907194,0.60243),h:0,n:0,cr:0;
p:(0.896106,0.602655),h:0,n:0,cr:0;
p:(0.93296,0.73644),h:0,n:0,cr:0;
p:(0.904582,0.756345),h:0,n:0,cr:0;
p:(0.926209,0.727568),h:0,n:0,cr:0;
p:(0.961055,0.740809),h:0,n:0,cr:0;
p:(0.898214,0.761026),h:0,n:0,cr:0;
p:(0.988753,0.704685),h:0,n:0,cr:0;
p:(0.868228,0.774718),h:0,n:0,cr:0;
p:(0.85121,0.736139),h:0,n:0,cr:0;
p:(0.924648,0.709106),h:0,n:0,cr:0;
p:(0.932785,0.706654),h:0,n:0,cr:0;
p:(0.826961,0.752198),h:0,n:0,cr:0;
p:(0.818289,0.7391),h:0,n:0,cr:0;
p:(0.965052,0.838244),h:0,n:0,cr:0;
p:(0.948811,0.832335),h:0,n:0,cr:0;
p:(0.95853,0.839576),h:0,n:0,cr:0;
p:(0.974736,0.79836),h:0,n:0,cr:0;
p:(0.934302,0.805346),h:0,n:0,cr:0;
p:(0.928545,0.813066),h:0,n:0,cr:0;
p:(0.968314,0.85688),h:0,n:0,cr:0;
p:(0.958884,0.858944),h:0,n:0,cr:0;
p:(0.911199,0.838539),h:0,n:0,cr:0;
p:(0.981802,0.970672),h:0,n:0,cr:0;
p:(0.998739,0.997165),h:0,n:0,cr:0;
p:(0.950848,0.97348),h:0,n:0,cr:0;
p:(0.951573,0.978364),h:0,n:0,cr:0;
p:(0.92706,0.988975),h:0,n:0,cr:0;
p:(0.955195,0.974558),h:0,n:0,cr:0;
p:(0.95317,0.972931),h:0,n:0,cr:0;
p:(0.881177,0.874957),h:0,n:0,cr:0;
p:(0.895094,0.905827),h:0,n:0,cr:0;
p:(0.881382,0.869602),h:0,n:0,cr:0;
p:(0.864344,0.849226),h:0,n:0,cr:0;
p:(0.85039,0.911211),h:0,n:0,cr:0;
p:(0.848756,0.96043),h:0,n:0,cr:0;
p:(0.846661,0.965569),h:0,n:0,cr:0;
p:(0.850804,0.939),h:0,n:0,cr:0;
p:(0.893516,0.948821),h:0,n:0,cr:0;
p:(0.897572,0.954079),h:0,n:0,cr:0;
p:(0.896536,0.936293),h:0,n:0,cr:0;
p:(0.878642,0.822325),h:0,n:0,cr:0;
p:(0.911098,0.485633),h:0,n:0,cr:0;
p:(0.893119,0.472081),h:0,n:0,cr:0;
p:(0.895488,0.456088),h:0,n:0,cr:0;
p:(0.940261,0.551294),h:0,n:0,cr:0;
p:(0.943934,0.565905),h:0,n:0,cr:0;
p:(0.956362,0.581313),h:0,n:0,cr:0;
p:(0.929896,0.5504),h:0,n:0,cr:0;
p:(0.956311,0.531457),h:0,n:0,cr:0;
p:(0.965757,0.488747),h:0,n:0,cr:0;
p:(0.969369,0.495327),h:0,n:0,cr:0;
p:(0.995292,0.523238),h:0,n:0,cr:0;
p:(0.99406,0.518459),h:0,n:0,cr:0;
p:(0.97262,0.577947),h:0,n:0,cr:0;
p:(0.963483,0.526193),h:0,n:0,cr:0;
p:(0.995526,0.536085),h:0,n:0,cr:0;
p:(0.980628,0.539478),h:0,n:0,cr:0;
p:(0.976126,0.468682),h:0,n:0,cr:0;
p:(0.982663,0.477913),h:0,n:0,cr:0;
p:(0.922452,0.424205),h:0,n:0,cr:0;
p:(0.931274,0.403544),h:0,n:0,cr:0;
p:(0.937358,0.420824),h:0,n:0,cr:0;
p:(0.892854,0.436671),h:0,n:0,cr:0;
p:(0.898469,0.444485),h:0,n:0,cr:0;
p:(0.898945,0.418592),h:0,n:0,cr:0;
p:(0.955087,0.414035),h:0,n:0,cr:0;
p:(0.943128,0.41579),h:0,n:0,cr:0;
p:(0.969332,0.425892),h:0,n:0,cr:0;
p:(0.978353,0.406782),h:0,n:0,cr:0;
p:(0.969788,0.348069),h:0,n:0,cr:0;
p:(0.998777,0.361164),h:0,n:0,cr:0;
p:(0.976459,0.463155),h:0,n:0,cr:0;
p:(0.792273,0.502016),h:0,n:0,cr:0;
p:(0.794858,0.490418),h:0,n:0,cr:0;
p:(0.777374,0.502691),h:0,n:0,cr:0;
p:(0.781821,0.468966),h:0,n:0,cr:0;
p:(0.795257,0.51547),h:0,n:0,cr:0;
p:(0.818984,0.513468),h:0,n:0,cr:0;
p:(0.807253,0.537819),h:0,n:0,cr:0;
p:(0.732532,0.537808),h:0,n:0,cr:0;
p:(0.730779,0.523829),h:0,n:0,cr:0;
p:(0.791364,0.43685),h:0,n:0,cr:0;
p:(0.71662,0.4409),h:0,n:0,cr:0;
p:(0.705297,0.479514),h:0,n:0,cr:0;
p:(0.849613,0.47531),h:0,n:0,cr:0;
p:(0.870113,0.441412),h:0,n:0,cr:0;
p:(0.874302,0.451928),h:0,n:0,cr:0;
p:(0.857244,0.482582),h:0,n:0,cr:0;
p:(0.882995,0.465035),h:0,n:0,cr:0;
p:(0.823137,0.474809),h:0,n:0,cr:0;
p:(0.822879,0.432345),h:0,n:0,cr:0;
p:(0.752337,0.694782),h:0,n:0,cr:0;
p:(0.747667,0.67012),h:0,n:0,cr:0;
p:(0.74851,0.645876),h:0,n:0,cr:0;
p:(0.733799,0.682878),h:0,n:0,cr:0;
p:(0.77345,0.69891),h:0,n:0,cr:0;
p:(0.755146,0.675621),h:0,n:0,cr:0;
p:(0.765323,0.693314),h:0,n:0,cr:0;
p:(0.767285,0.66313),h:0,n:0,cr:0;
p:(0.786982,0.703069),h:0,n:0,cr:0;
p:(0.790036,0.717135),h:0,n:0,cr:0;
p:(0.765337,0.727434),h:0,n:0,cr:0;
p:(0.78574,0.733309),h:0,n:0,cr:0;
p:(0.710618,0.670802),h:0,n:0,cr:0;
p:(0.712743,0.675585),h:0,n:0,cr:0;
p:(0.695633,0.685261),h:0,n:0,cr:0;
p:(0.697273,0.6913),h:0,n:0,cr:0;
p:(0.718722,0.763716),h:0,n:0,cr:0;
p:(0.75021,0.750815),h:0,n:0,cr:0;
p:(0.697216,0.605426),h:0,n:0,cr:0;
p:(0.701324,0.613622),h:0,n:0,cr:0;
p:(0.654459,0.610645),h:0,n:0,cr:0;
p:(0.734127,0.624818),h:0,n:0,cr:0;
p:(0.709933,0.602801),h:0,n:0,cr:0;
p:(0.743965,0.584315),h:0,n:0,cr:0;
p:(0.709992,0.59716),h:0,n:0,cr:0;
p:(0.707666,0.597542),h:0,n:0,cr:0;
p:(0.722616,0.627043),h:0,n:0,cr:0;
p:(0.648104,0.590409),h:0,n:0,cr:0;
p:(0.650239,0.604596),h:0,n:0,cr:0;
p:(0.633657,0.602337),h:0,n:0,cr:0;
p:(0.713706,0.647047),h:0,n:0,cr:0;
p:(0.68819,0.555313),h:0,n:0,cr:0;
p:(0.712829,0.551728),h:0,n:0,cr:0;
p:(0.717632,0.518025),h:0,n:0,cr:0;
p:(0.668796,0.524652),h:0,n:0,cr:0;
p:(0.672227,0.559301),h:0,n:0,cr:0;
p:(0.691837,0.580291),h:0,n:0,cr:0;
p:(0.67289,0.566405),h:0,n:0,cr:0;
p:(0.646319,0.54875),h:0,n:0,cr:0;
p:(0.673985,0.67232),h:0,n:0,cr:0;
p:(0.649827,0.636147),h:0,n:0,cr:0;
p:(0.622868,0.626508),h:0,n:0,cr:0;
p:(0.629774,0.715729),h:0,n:0,cr:0;
p:(0.6113,0.741971),h:0,n:0,cr:0;
p:(0.627013,0.724734),h:0,n:0,cr:0;
p:(0.621919,0.720542),h:0,n:0,cr:0;
p:(0.656006,0.72211),h:0,n:0,cr:0;
p:(0.650383,0.7301),h:0,n:0,cr:0;
p:(0.653121,0.708719),h:0,n:0,cr:0;
p:(0.606251,0.678864),h:0,n:0,cr:0;
p:(0.570126,0.678048),h:0,n:0,cr:0;
p:(0.568368,0.715794),h:0,n:0,cr:0;
p:(0.632797,0.686138),h:0,n:0,cr:0;
p:(0.658599,0.671765),h:0,n:0,cr:0;
p:(0.671073,0.685355),h:0,n:0,cr:0;
p:(0.653084,0.70029),h:0,n:0,cr:0;
p:(0.625877,0.767938),h:0,n:0,cr:0;
p:(0.645798,0.760153),h:0,n:0,cr:0;
p:(0.646132,0.767251),h:0,n:0,cr:0;
p:(0.679884,0.742662),h:0,n:0,cr:0;
p:(0.790177,0.678368),h:0,n:0,cr:0;
p:(0.804468,0.583821),h:0,n:0,cr:0;
p:(0.787085,0.615325),h:0,n:0,cr:0;
p:(0.782709,0.655093),h:0,n:0,cr:0;
p:(0.811995,0.618778),h:0,n:0,cr:0;
p:(0.802677,0.645061),h:0,n:0,cr:0;
p:(0.799286,0.620095),h:0,n:0,cr:0;
p:(0.838097,0.6192),h:0,n:0,cr:0;
p:(0.761277,0.598352),h:0,n:0,cr:0;
p:(0.76725,0.617457),h:0,n:0,cr:0;
p:(0.850659,0.579474),h:0,n:0,cr:0;
p:(0.843552,0.580412),h:0,n:0,cr:0;
p:(0.803778,0.574126),h:0,n:0,cr:0;
p:(0.85598,0.621021),h:0,n:0,cr:0;
p:(0.859057,0.609108),h:0,n:0,cr:0;
p:(0.909279,0.549718),h:0,n:0,cr:0;
p:(0.830421,0.86377),h:0,n:0,cr:0;
p:(0.83799,0.891723),h:0,n:0,cr:0;
p:(0.855743,0.845869),h:0,n:0,cr:0;
p:(0.847881,0.85853),h:0,n:0,cr:0;
