p:(0.460652,0.471639),h:3,n:3,cr:0.744007;
p:(0.442396,0.686678),h:0,n:0,cr:0;
p:(0.403095,0.699924),h:0,n:0,cr:0;
p:(0.443867,0.724296),h:0,n:0,cr:0;
p:(0.446726,0.717209),h:0,n:0,cr:0;
p:(0.446486,0.705539),h:0,n:0,cr:0;
p:(0.427909,0.724203),h:0,n:0,cr:0;
p:(0.440934,0.711627),h:0,n:0,cr:0;
p:(0.446608,0.739568),h:0,n:0,cr:0;
p:(0.415191,0.686046),h:0,n:0,cr:0;
p:(0.438247,0.754679),h:0,n:0,cr:0;
p:(0.418382,0.690031),h:0,n:0,cr:0;
p:(0.448279,0.723106),h:0,n:0,cr:0;
p:(0.431662,0.743377),h:0,n:0,cr:0;
p:(0.449087,0.728612),h:0,n:0,cr:0;
p:(0.455523,0.685245),h:0,n:0,cr:0;
p:(0.403129,0.688813),h:0,n:0,cr:0;
p:(0.449754,0.711088),h:0,n:0,cr:0;
p:(0.444395,0.685217),h:0,n:0,cr:0;
p:(0.439301,0.693263),h:0,n:0,cr:0;
p:(0.409651,0.719676),h:0,n:0,cr:0;
p:(0.42475,0.728792),h:0,n:0,cr:0;
p:(0.455177,0.682199),h:0,n:0,cr:0;
p:(0.438753,0.727084),h:0,n:0,cr:0;
p:(0.413701,0.705322),h:0,n:0,cr:0;
p:(0.410299,0.683285),h:0,n:0,cr:0;
p:(0.429646,0.691898),h:0,n:0,cr:0;
p:(0.459462,0.677559),h:0,n:0,cr:0;
p:(0.441994,0.689098),h:0,n:0,cr:0;
p:(0.437339,0.687219),h:0,n:0,cr:0;
p:(0.403485,0.692398),h:0,n:0,cr:0;
p:(0.427006,0.732671),h:0,n:0,cr:0;
p:(0.228968,0.893372),h:0,n:0,cr:0;
p:(0.260497,0.877384),h:0,n:0,cr:0;
p:(0.244069,0.912391),h:0,n:0,cr:0;
p:(0.180096,0.862918),h:0,n:0,cr:0;
p:(0.234441,0.896618),h:0,n:0,cr:0;
p:(0.147062,0.849692),h:0,n:0,cr:0;
p:(0.158015,0.893318),h:0,n:0,cr:0;
p:(0.1992,0.883299),h:0,n:0,cr:0;
p:(0.165934,0.859285),h:0,n:0,cr:0;
p:(0.186572,0.867977),h:0,n:0,cr:0;
p:(0.214462,0.899687),h:0,n:0,cr:0;
p:(0.146641,0.857978),h:0,n:0,cr:0;
p:(0.166699,0.868918),h:0,n:0,cr:0;
p:(0.242477,0.893119),h:0,n:0,cr:0;
p:(0.220022,0.895901),h:0,n:0,cr:0;
p:(0.282036,0.914465),h:0,n:0,cr:0;
p:(0.2801,0.887117),h:0,n:0,cr:0;
p:(0.220921,0.872922),h:0,n:0,cr:0;
p:(0.203717,0.903584),h:0,n:0,cr:0;
p:(0.201706,0.869257),h:0,n:0,cr:0;
p:(0.193271,0.858694),h:0,n:0,cr:0;
p:(0.230484,0.902718),h:0,n:0,cr:0;
p:(0.16015,0.846401),h:0,n:0,cr:0;
p:(0.23842,0.881468),h:0,n:0,cr:0;
p:(0.282597,0.898085),h:0,n:0,cr:0;
p:(0.142127,0.852569),h:0,n:0,cr:0;
p:(0.169372,0.86441),h:0,n:0,cr:0;
p:(0.28632,0.88796),h:0,n:0,cr:0;
p:(0.201589,0.884118),h:0,n:0,cr:0;
p:(0.175663,0.862705),h:0,n:0,cr:0;
p:(0.281259,0.904204),h:0,n:0,cr:0;
p:(0.251806,0.91292),h:0,n:0,cr:0;
p:(0.275977,0.913626),h:0,n:0,cr:0;
p:(0.209989,0.888757),h:0,n:0,cr:0;
p:(0.286699,0.901636),h:0,n:0,cr:0;
p:(0.167372,0.872928),h:0,n:0,cr:0;
p:(0.211802,0.872535),h:0,n:0,cr:0;
p:(0.134612,0.841184),h:0,n:0,cr:0;
p:(0.245346,0.878422),h:0,n:0,cr:0;
p:(0.162774,0.88851),h:0,n:0,cr:0;
p:(0.208752,0.868026),h:0,n:0,cr:0;
p:(0.2334,0.877802),h:0,n:0,cr:0;
p:(0.176378,0.887717),h:0,n:0,cr:0;
p:(0.278534,0.88874),h:0,n:0,cr:0;
p:(0.203943,0.881639),h:0,n:0,cr:0;
p:(0.151888,0.872234),h:0,n:0,cr:0;
p:(0.237398,0.9039),h:0,n:0,cr:0;
p:(0.281059,0.891795),h:0,n:0,cr:0;
p:(0.144469,0.862808),h:0,n:0,cr:0;
p:(0.234911,0.887987),h:0,n:0,cr:0;
p:(0.1671,0.85694),h:0,n:0,cr:0;
p:(0.515532,0.322451),h:0,n:0,cr:0;
p:(0.556908,0.291431),h:0,n:0,cr:0;
p:(0.528892,0.358948),h:0,n:0,cr:0;
p:(0.55626,0.332706),h:0,n:0,cr:0;
p:(0.553111,0.329285),h:0,n:0,cr:0;
p:(0.52229,0.343497),h:0,n:0,cr:0;
p:(0.544564,0.377888),h:0,n:0,cr:0;
p:(0.530952,0.359441),h:0,n:0,cr:0;
p:(0.555243,0.338052),h:0,n:0,cr:0;
p:(0.561188,0.300935),h:0,n:0,cr:0;
p:(0.524077,0.310283),h:0,n:0,cr:0;
p:(0.524678,0.353999),h:0,n:0,cr:0;
p:(0.520902,0.330719),h:0,n:0,cr:0;
p:(0.537643,0.301997),h:0,n:0,cr:0;
p:(0.561286,0.292697),h:0,n:0,cr:0;
p:(0.527818,0.305831),h:0,n:0,cr:0;
p:(0.543144,0.361597),h:0,n:0,cr:0;
p:(0.554021,0.307774),h:0,n:0,cr:0;
p:(0.535188,0.343226),h:0,n:0,cr:0;
p:(0.518306,0.347637),h:0,n:0,cr:0;
p:(0.54011,0.294304),h:0,n:0,cr:0;
p:(0.499226,0.348608),h:0,n:0,cr:0;
p:(0.518931,0.31805),h:0,n:0,cr:0;
p:(0.545972,0.36378),h:0,n:0,cr:0;
p:(0.541905,0.333202),h:0,n:0,cr:0;
p:(0.550766,0.296857),h:0,n:0,cr:0;
p:(0.519465,0.343267),h:0,n:0,cr:0;
p:(0.554698,0.327084),h:0,n:0,cr:0;
p:(0.555241,0.342598),h:0,n:0,cr:0;
p:(0.528817,0.349989),h:0,n:0,cr:0;
p:(0.564236,0.274505),h:0,n:0,cr:0;
p:(0.500733,0.348808),h:0,n:0,cr:0;
p:(0.527089,0.308351),h:0,n:0,cr:0;
p:(0.496612,0.358025),h:0,n:0,cr:0;
p:(0.501703,0.369163),h:0,n:0,cr:0;
p:(0.492068,0.347522),h:0,n:0,cr:0;
p:(0.522521,0.320933),h:0,n:0,cr:0;
p:(0.518344,0.360583),h:0,n:0,cr:0;
p:(0.536074,0.363289),h:0,n:0,cr:0;
p:(0.53165,0.310431),h:0,n:0,cr:0;
p:(0.519822,0.316805),h:0,n:0,cr:0;
p:(0.534722,0.318175),h:0,n:0,cr:0;
p:(0.556416,0.332255),h:0,n:0,cr:0;
p:(0.492872,0.351664),h:0,n:0,cr:0;
p:(0.505449,0.360692),h:0,n:0,cr:0;
p:(0.558219,0.285665),h:0,n:0,cr:0;
p:(0.557874,0.296903),h:0,n:0,cr:0;
p:(0.496074,0.334972),h:0,n:0,cr:0;
p:(0.477961,0.360105),h:0,n:0,cr:0;
p:(0.521261,0.28428),h:0,n:0,cr:0;
p:(0.523745,0.24699),h:0,n:0,cr:0;
p:(0.538055,0.249262),h:0,n:0,cr:0;
p:(0.493831,0.339071),h:0,n:0,cr:0;
p:(0.495408,0.333894),h:0,n:0,cr:0;
p:(0.526062,0.267611),h:0,n:0,cr:0;
p:(0.517856,0.280851),h:0,n:0,cr:0;
p:(0.510402,0.290423),h:0,n:0,cr:0;
p:(0.560023,0.248992),h:0,n:0,cr:0;
p:(0.492863,0.330476),h:0,n:0,cr:0;
p:(0.515642,0.249762),h:0,n:0,cr:0;
p:(0.545005,0.272612),h:0,n:0,cr:0;
p:(0.494606,0.308093),h:0,n:0,cr:0;
p:(0.546885,0.259782),h:0,n:0,cr:0;
p:(0.531735,0.267712),h:0,n:0,cr:0;
p:(0.524556,0.240683),h:0,n:0,cr:0;
p:(0.520072,0.293849),h:0,n:0,cr:0;
p:(0.525848,0.269233),h:0,n:0,cr:0;
p:(0.509322,0.294776),h:0,n:0,cr:0;
p:(0.549627,0.273577),h:0,n:0,cr:0;
p:(0.492138,0.32711),h:0,n:0,cr:0;
p:(0.535641,0.283445),h:0,n:0,cr:0;
p:(0.546253,0.273302),h:0,n:0,cr:0;
p:(0.502575,0.299816),h:0,n:0,cr:0;
p:(0.547074,0.275137),h:0,n:0,cr:0;
p:(0.518597,0.303503),h:0,n:0,cr:0;
p:(0.533896,0.260593),h:0,n:0,cr:0;
p:(0.491423,0.310614),h:0,n:0,cr:0;
p:(0.522431,0.288075),h:0,n:0,cr:0;
p:(0.532894,0.277247),h:0,n:0,cr:0;
p:(0.533517,0.25918),h:0,n:0,cr:0;
p:(0.551219,0.266462),h:0,n:0,cr:0;
p:(0.512785,0.292154),h:0,n:0,cr:0;
p:(0.527314,0.236374),h:0,n:0,cr:0;
p:(0.525848,0.243846),h:0,n:0,cr:0;
p:(0.548008,0.246908),h:0,n:0,cr:0;
p:(0.558119,0.262809),h:0,n:0,cr:0;
p:(0.54952,0.249491),h:0,n:0,cr:0;
p:(0.511128,0.29598),h:0,n:0,cr:0;
p:(0.501149,0.320431),h:0,n:0,cr:0;
p:(0.495977,0.291053),h:0,n:0,cr:0;
p:(0.475806,0.272987),h:0,n:0,cr:0;
p:(0.436585,0.293177),h:0,n:0,cr:0;
p:(0.46905,0.256969),h:0,n:0,cr:0;
p:(0.443339,0.269022),h:0,n:0,cr:0;
p:(0.479777,0.270321),h:0,n:0,cr:0;
p:(0.470325,0.287181),h:0,n:0,cr:0;
p:(0.460309,0.286074),h:0,n:0,cr:0;
p:(0.495297,0.282835),h:0,n:0,cr:0;
p:(0.485257,0.26688),h:0,n:0,cr:0;
p:(0.499481,0.240662),h:0,n:0,cr:0;
p:(0.501178,0.274417),h:0,n:0,cr:0;
p:(0.509205,0.22658),h:0,n:0,cr:0;
p:(0.456151,0.24875),h:0,n:0,cr:0;
p:(0.478987,0.23701),h:0,n:0,cr:0;
p:(0.445968,0.266048),h:0,n:0,cr:0;
p:(0.443294,0.271941),h:0,n:0,cr:0;
p:(0.436329,0.2666),h:0,n:0,cr:0;
p:(0.472832,0.288762),h:0,n:0,cr:0;
p:(0.430836,0.281845),h:0,n:0,cr:0;
p:(0.480247,0.258488),h:0,n:0,cr:0;
p:(0.489522,0.276094),h:0,n:0,cr:0;
p:(0.507089,0.231806),h:0,n:0,cr:0;
p:(0.516114,0.241485),h:0,n:0,cr:0;
p:(0.473055,0.268606),h:0,n:0,cr:0;
p:(0.490992,0.24822),h:0,n:0,cr:0;
p:(0.483676,0.24431),h:0,n:0,cr:0;
p:(0.494245,0.228651),h:0,n:0,cr:0;
p:(0.483568,0.262814),h:0,n:0,cr:0;
p:(0.475765,0.268988),h:0,n:0,cr:0;
p:(0.518305,0.232401),h:0,n:0,cr:0;
p:(0.471824,0.2553),h:0,n:0,cr:0;
p:(0.50627,0.253884),h:0,n:0,cr:0;
p:(0.492743,0.271681),h:0,n:0,cr:0;
p:(0.464327,0.285545),h:0,n:0,cr:0;
p:(0.479867,0.230885),h:0,n:0,cr:0;
p:(0.469883,0.266194),h:0,n:0,cr:0;
p:(0.481747,0.26124),h:0,n:0,cr:0;
p:(0.471201,0.25255),h:0,n:0,cr:0;
p:(0.473311,0.237634),h:0,n:0,cr:0;
p:(0.481936,0.304956),h:0,n:0,cr:0;
p:(0.400985,0.307168),h:0,n:0,cr:0;
p:(0.432452,0.321047),h:0,n:0,cr:0;
p:(0.446645,0.327805),h:0,n:0,cr:0;
p:(0.461706,0.304929),h:0,n:0,cr:0;
p:(0.405917,0.326868),h:0,n:0,cr:0;
p:(0.448881,0.325518),h:0,n:0,cr:0;
p:(0.47405,0.298639),h:0,n:0,cr:0;
p:(0.428032,0.323107),h:0,n:0,cr:0;
p:(0.458655,0.347815),h:0,n:0,cr:0;
p:(0.430662,0.339602),h:0,n:0,cr:0;
p:(0.421442,0.301399),h:0,n:0,cr:0;
p:(0.48585,0.30577),h:0,n:0,cr:0;
p:(0.479015,0.308517),h:0,n:0,cr:0;
p:(0.466203,0.301487),h:0,n:0,cr:0;
p:(0.46137,0.301619),h:0,n:0,cr:0;
p:(0.476645,0.320179),h:0,n:0,cr:0;
p:(0.458732,0.335194),h:0,n:0,cr:0;
p:(0.438599,0.306403),h:0,n:0,cr:0;
p:(0.453149,0.330134),h:0,n:0,cr:0;
p:(0.447625,0.34495),h:0,n:0,cr:0;
p:(0.41405,0.310224),h:0,n:0,cr:0;
p:(0.486346,0.312291),h:0,n:0,cr:0;
p:(0.41078,0.331861),h:0,n:0,cr:0;
p:(0.458765,0.351797),h:0,n:0,cr:0;
p:(0.453,0.313242),h:0,n:0,cr:0;
p:(0.418142,0.337968),h:0,n:0,cr:0;
p:(0.388019,0.33027),h:0,n:0,cr:0;
p:(0.483631,0.310432),h:0,n:0,cr:0;
p:(0.466166,0.3026),h:0,n:0,cr:0;
p:(0.448039,0.345397),h:0,n:0,cr:0;
p:(0.47403,0.343125),h:0,n:0,cr:0;
p:(0.447341,0.324726),h:0,n:0,cr:0;
p:(0.450053,0.350104),h:0,n:0,cr:0;
p:(0.381649,0.334386),h:0,n:0,cr:0;
p:(0.46425,0.320802),h:0,n:0,cr:0;
p:(0.43161,0.30759),h:0,n:0,cr:0;
p:(0.436649,0.347563),h:0,n:0,cr:0;
p:(0.449684,0.34782),h:0,n:0,cr:0;
p:(0.491247,0.307799),h:0,n:0,cr:0;
p:(0.477925,0.296861),h:0,n:0,cr:0;
p:(0.431252,0.34373),h:0,n:0,cr:0;
p:(0.437142,0.308906),h:0,n:0,cr:0;
p:(0.446385,0.317875),h:0,n:0,cr:0;
p:(0.436873,0.310161),h:0,n:0,cr:0;
p:(0.468578,0.359092),h:0,n:0,cr:0;
p:(0.595045,0.361917),h:0,n:0,cr:0;
p:(0.603411,0.35109),h:0,n:0,cr:0;
p:(0.590649,0.31356),h:0,n:0,cr:0;
p:(0.590518,0.345963),h:0,n:0,cr:0;
p:(0.59648,0.344156),h:0,n:0,cr:0;
p:(0.573261,0.320145),h:0,n:0,cr:0;
p:(0.590633,0.34234),h:0,n:0,cr:0;
p:(0.574618,0.367581),h:0,n:0,cr:0;
p:(0.560197,0.36057),h:0,n:0,cr:0;
p:(0.605156,0.328573),h:0,n:0,cr:0;
p:(0.596812,0.356471),h:0,n:0,cr:0;
p:(0.615225,0.326417),h:0,n:0,cr:0;
p:(0.569931,0.298343),h:0,n:0,cr:0;
p:(0.589973,0.319081),h:0,n:0,cr:0;
p:(0.614064,0.327122),h:0,n:0,cr:0;
p:(0.609419,0.344732),h:0,n:0,cr:0;
p:(0.588712,0.303049),h:0,n:0,cr:0;
p:(0.600848,0.350081),h:0,n:0,cr:0;
p:(0.568827,0.345583),h:0,n:0,cr:0;
p:(0.591587,0.293666),h:0,n:0,cr:0;
p:(0.580652,0.301434),h:0,n:0,cr:0;
p:(0.593927,0.298737),h:0,n:0,cr:0;
p:(0.559479,0.356019),h:0,n:0,cr:0;
p:(0.603465,0.318327),h:0,n:0,cr:0;
p:(0.579768,0.268639),h:0,n:0,cr:0;
p:(0.588702,0.320111),h:0,n:0,cr:0;
p:(0.5683,0.326842),h:0,n:0,cr:0;
p:(0.583839,0.353377),h:0,n:0,cr:0;
p:(0.594626,0.353112),h:0,n:0,cr:0;
p:(0.573076,0.307378),h:0,n:0,cr:0;
p:(0.603041,0.312292),h:0,n:0,cr:0;
p:(0.563944,0.371415),h:0,n:0,cr:0;
p:(0.581904,0.321958),h:0,n:0,cr:0;
p:(0.58028,0.327575),h:0,n:0,cr:0;
p:(0.582878,0.341261),h:0,n:0,cr:0;
p:(0.606617,0.325759),h:0,n:0,cr:0;
p:(0.582813,0.298949),h:0,n:0,cr:0;
p:(0.575156,0.302384),h:0,n:0,cr:0;
p:(0.574566,0.35765),h:0,n:0,cr:0;
p:(0.613656,0.332841),h:0,n:0,cr:0;
p:(0.60789,0.33084),h:0,n:0,cr:0;
p:(0.562755,0.30606),h:0,n:0,cr:0;
p:(0.94664,0.122326),h:0,n:0,cr:0;
p:(0.946435,0.10148),h:0,n:0,cr:0;
p:(0.97538,0.153923),h:0,n:0,cr:0;
p:(0.961014,0.126016),h:0,n:0,cr:0;
p:(0.939121,0.126812),h:0,n:0,cr:0;
p:(0.975484,0.123695),h:0,n:0,cr:0;
p:(0.960668,0.119752),h:0,n:0,cr:0;
p:(0.99963,0.128624),h:0,n:0,cr:0;
p:(0.93992,0.173089),h:0,n:0,cr:0;
p:(0.931551,0.148539),h:0,n:0,cr:0;
p:(0.94561,0.134765),h:0,n:0,cr:0;
p:(0.93146,0.181056),h:0,n:0,cr:0;
p:(0.962155,0.144546),h:0,n:0,cr:0;
p:(0.942319,0.170648),h:0,n:0,cr:0;
p:(0.951429,0.150535),h:0,n:0,cr:0;
p:(0.926551,0.192557),h:0,n:0,cr:0;
p:(0.953481,0.165321),h:0,n:0,cr:0;
p:(0.932818,0.166416),h:0,n:0,cr:0;
p:(0.945813,0.177639),h:0,n:0,cr:0;
p:(0.940998,0.143402),h:0,n:0,cr:0;
p:(0.932218,0.182904),h:0,n:0,cr:0;
p:(0.978347,0.116464),h:0,n:0,cr:0;
p:(0.976269,0.155812),h:0,n:0,cr:0;
p:(0.95203,0.133098),h:0,n:0,cr:0;
p:(0.992767,0.140741),h:0,n:0,cr:0;
p:(0.999067,0.13698),h:0,n:0,cr:0;
p:(0.954321,0.125331),h:0,n:0,cr:0;
p:(0.965822,0.151708),h:0,n:0,cr:0;
p:(0.980956,0.146646),h:0,n:0,cr:0;
p:(0.937851,0.0969595),h:0,n:0,cr:0;
p:(0.930085,0.192527),h:0,n:0,cr:0;
p:(0.930143,0.169672),h:0,n:0,cr:0;
p:(0.934217,0.137431),h:0,n:0,cr:0;
p:(0.970735,0.141812),h:0,n:0,cr:0;
p:(0.932984,0.141819),h:0,n:0,cr:0;
p:(0.958736,0.161532),h:0,n:0,cr:0;
p:(0.956122,0.131516),h:0,n:0,cr:0;
p:(0.986185,0.148992),h:0,n:0,cr:0;
p:(0.994095,0.142657),h:0,n:0,cr:0;
p:(0.946692,0.160724),h:0,n:0,cr:0;
p:(0.968342,0.124008),h:0,n:0,cr:0;
p:(0.955812,0.147389),h:0,n:0,cr:0;
p:(0.941962,0.131679),h:0,n:0,cr:0;
p:(0.639979,0.354049),h:0,n:0,cr:0;
p:(0.684445,0.383188),h:0,n:0,cr:0;
p:(0.721822,0.350505),h:0,n:0,cr:0;
p:(0.656098,0.413894),h:0,n:0,cr:0;
p:(0.645693,0.377377),h:0,n:0,cr:0;
p:(0.664316,0.394842),h:0,n:0,cr:0;
p:(0.663461,0.406224),h:0,n:0,cr:0;
p:(0.678271,0.386394),h:0,n:0,cr:0;
p:(0.689194,0.405786),h:0,n:0,cr:0;
p:(0.698573,0.390566),h:0,n:0,cr:0;
p:(0.643376,0.385378),h:0,n:0,cr:0;
p:(0.652051,0.403191),h:0,n:0,cr:0;
p:(0.673959,0.416126),h:0,n:0,cr:0;
p:(0.650716,0.368006),h:0,n:0,cr:0;
p:(0.647059,0.404539),h:0,n:0,cr:0;
p:(0.70675,0.375837),h:0,n:0,cr:0;
p:(0.683944,0.383512),h:0,n:0,cr:0;
p:(0.628583,0.366788),h:0,n:0,cr:0;
p:(0.663814,0.379799),h:0,n:0,cr:0;
p:(0.667544,0.40105),h:0,n:0,cr:0;
p:(0.674832,0.384376),h:0,n:0,cr:0;
p:(0.689907,0.349179),h:0,n:0,cr:0;
p:(0.684214,0.401837),h:0,n:0,cr:0;
p:(0.661144,0.376948),h:0,n:0,cr:0;
p:(0.69397,0.371292),h:0,n:0,cr:0;
p:(0.685265,0.401516),h:0,n:0,cr:0;
p:(0.656385,0.413081),h:0,n:0,cr:0;
p:(0.706523,0.36553),h:0,n:0,cr:0;
p:(0.694525,0.411243),h:0,n:0,cr:0;
p:(0.637745,0.398182),h:0,n:0,cr:0;
p:(0.682631,0.441049),h:0,n:0,cr:0;
p:(0.629129,0.395541),h:0,n:0,cr:0;
p:(0.625574,0.370203),h:0,n:0,cr:0;
p:(0.67613,0.373616),h:0,n:0,cr:0;
p:(0.626694,0.386829),h:0,n:0,cr:0;
p:(0.67792,0.417309),h:0,n:0,cr:0;
p:(0.710412,0.376436),h:0,n:0,cr:0;
p:(0.691259,0.424767),h:0,n:0,cr:0;
p:(0.627478,0.358707),h:0,n:0,cr:0;
p:(0.667772,0.362197),h:0,n:0,cr:0;
p:(0.695299,0.415822),h:0,n:0,cr:0;
p:(0.67338,0.383081),h:0,n:0,cr:0;
p:(0.635919,0.393478),h:0,n:0,cr:0;
p:(0.669807,0.373811),h:0,n:0,cr:0;
p:(0.67771,0.354297),h:0,n:0,cr:0;
p:(0.647234,0.384419),h:0,n:0,cr:0;
p:(0.649547,0.398124),h:0,n:0,cr:0;
p:(0.709388,0.360239),h:0,n:0,cr:0;
p:(0.749771,0.368664),h:0,n:0,cr:0;
p:(0.692076,0.44256),h:0,n:0,cr:0;
p:(0.69337,0.444097),h:0,n:0,cr:0;
p:(0.740451,0.446876),h:0,n:0,cr:0;
p:(0.717512,0.399924),h:0,n:0,cr:0;
p:(0.757571,0.384539),h:0,n:0,cr:0;
p:(0.758364,0.42472),h:0,n:0,cr:0;
p:(0.733318,0.369946),h:0,n:0,cr:0;
p:(0.7183,0.451258),h:0,n:0,cr:0;
p:(0.775641,0.409217),h:0,n:0,cr:0;
p:(0.751439,0.401306),h:0,n:0,cr:0;
p:(0.718099,0.378859),h:0,n:0,cr:0;
p:(0.749422,0.405098),h:0,n:0,cr:0;
p:(0.740396,0.39375),h:0,n:0,cr:0;
p:(0.742564,0.427046),h:0,n:0,cr:0;
p:(0.739786,0.34732),h:0,n:0,cr:0;
p:(0.70396,0.425925),h:0,n:0,cr:0;
p:(0.77757,0.432964),h:0,n:0,cr:0;
p:(0.719721,0.380875),h:0,n:0,cr:0;
p:(0.698845,0.414493),h:0,n:0,cr:0;
p:(0.723755,0.403191),h:0,n:0,cr:0;
p:(0.755494,0.439629),h:0,n:0,cr:0;
p:(0.701071,0.44939),h:0,n:0,cr:0;
p:(0.715283,0.40982),h:0,n:0,cr:0;
p:(0.752121,0.376194),h:0,n:0,cr:0;
p:(0.733986,0.438761),h:0,n:0,cr:0;
p:(0.731006,0.36126),h:0,n:0,cr:0;
p:(0.741794,0.394328),h:0,n:0,cr:0;
p:(0.777753,0.405217),h:0,n:0,cr:0;
p:(0.710705,0.397317),h:0,n:0,cr:0;
p:(0.687389,0.439605),h:0,n:0,cr:0;
p:(0.709648,0.409917),h:0,n:0,cr:0;
p:(0.755031,0.419624),h:0,n:0,cr:0;
p:(0.775345,0.40344),h:0,n:0,cr:0;
p:(0.74592,0.378185),h:0,n:0,cr:0;
p:(0.766913,0.405427),h:0,n:0,cr:0;
p:(0.76926,0.434072),h:0,n:0,cr:0;
p:(0.720525,0.372936),h:0,n:0,cr:0;
p:(0.723845,0.378954),h:0,n:0,cr:0;
p:(0.698823,0.432522),h:0,n:0,cr:0;
p:(0.729561,0.36352),h:0,n:0,cr:0;
p:(0.757014,0.379001),h:0,n:0,cr:0;
p:(0.723773,0.373131),h:0,n:0,cr:0;
p:(0.717936,0.397692),h:0,n:0,cr:0;
p:(0.724111,0.383863),h:0,n:0,cr:0;
p:(0.741725,0.40983),h:0,n:0,cr:0;
p:(0.700107,0.42382),h:0,n:0,cr:0;
p:(0.725334,0.36838),h:0,n:0,cr:0;
p:(0.715892,0.451479),h:0,n:0,cr:0;
p:(0.733324,0.372542),h:0,n:0,cr:0;
p:(0.747549,0.438405),h:0,n:0,cr:0;
p:(0.784948,0.419257),h:0,n:0,cr:0;
p:(0.738889,0.442934),h:0,n:0,cr:0;
p:(0.759859,0.43172),h:0,n:0,cr:0;
p:(0.743128,0.367058),h:0,n:0,cr:0;
p:(0.734057,0.365199),h:0,n:0,cr:0;
p:(0.763551,0.429786),h:0,n:0,cr:0;
p:(0.748313,0.398059),h:0,n:0,cr:0;
p:(0.731488,0.392829),h:0,n:0,cr:0;
p:(0.754998,0.379535),h:0,n:0,cr:0;
p:(0.762966,0.431057),h:0,n:0,cr:0;
p:(0.526745,0.769914),h:0,n:0,cr:0;
p:(0.495444,0.760475),h:0,n:0,cr:0;
p:(0.530808,0.757294),h:0,n:0,cr:0;
p:(0.573721,0.812947),h:0,n:0,cr:0;
p:(0.475947,0.757282),h:0,n:0,cr:0;
p:(0.495767,0.75829),h:0,n:0,cr:0;
p:(0.581682,0.783807),h:0,n:0,cr:0;
p:(0.566801,0.787027),h:0,n:0,cr:0;
p:(0.531254,0.791725),h:0,n:0,cr:0;
p:(0.590334,0.808488),h:0,n:0,cr:0;
p:(0.499956,0.744678),h:0,n:0,cr:0;
p:(0.571708,0.815402),h:0,n:0,cr:0;
p:(0.486733,0.755394),h:0,n:0,cr:0;
p:(0.490581,0.742143),h:0,n:0,cr:0;
p:(0.582084,0.803575),h:0,n:0,cr:0;
p:(0.511039,0.778803),h:0,n:0,cr:0;
p:(0.497858,0.765928),h:0,n:0,cr:0;
p:(0.571589,0.776935),h:0,n:0,cr:0;
p:(0.531124,0.768377),h:0,n:0,cr:0;
p:(0.531144,0.776571),h:0,n:0,cr:0;
p:(0.541075,0.772392),h:0,n:0,cr:0;
p:(0.499884,0.773145),h:0,n:0,cr:0;
p:(0.616275,0.800756),h:0,n:0,cr:0;
p:(0.501035,0.771609),h:0,n:0,cr:0;
p:(0.549889,0.794606),h:0,n:0,cr:0;
p:(0.534966,0.796251),h:0,n:0,cr:0;
p:(0.564988,0.805541),h:0,n:0,cr:0;
p:(0.601668,0.802288),h:0,n:0,cr:0;
p:(0.551284,0.784153),h:0,n:0,cr:0;
p:(0.52283,0.788),h:0,n:0,cr:0;
p:(0.511076,0.770732),h:0,n:0,cr:0;
p:(0.515151,0.780249),h:0,n:0,cr:0;
p:(0.576201,0.787246),h:0,n:0,cr:0;
p:(0.521125,0.765574),h:0,n:0,cr:0;
p:(0.53837,0.791599),h:0,n:0,cr:0;
p:(0.48338,0.753242),h:0,n:0,cr:0;
p:(0.557688,0.791455),h:0,n:0,cr:0;
p:(0.618489,0.819653),h:0,n:0,cr:0;
p:(0.524216,0.763703),h:0,n:0,cr:0;
p:(0.605975,0.792316),h:0,n:0,cr:0;
p:(0.519314,0.78395),h:0,n:0,cr:0;
p:(0.547838,0.78633),h:0,n:0,cr:0;
p:(0.537685,0.791993),h:0,n:0,cr:0;
p:(0.544419,0.780761),h:0,n:0,cr:0;
p:(0.520259,0.76401),h:0,n:0,cr:0;
p:(0.543137,0.797336),h:0,n:0,cr:0;
p:(0.600827,0.815579),h:0,n:0,cr:0;
p:(0.584629,0.789975),h:0,n:0,cr:0;
p:(0.573312,0.790162),h:0,n:0,cr:0;
p:(0.534063,0.765176),h:0,n:0,cr:0;
p:(0.518229,0.777826),h:0,n:0,cr:0;
p:(0.562466,0.813518),h:0,n:0,cr:0;
p:(0.578687,0.786968),h:0,n:0,cr:0;
p:(0.554266,0.767685),h:0,n:0,cr:0;
p:(0.552615,0.777956),h:0,n:0,cr:0;
p:(0.509186,0.778302),h:0,n:0,cr:0;
p:(0.530526,0.766993),h:0,n:0,cr:0;
p:(0.506846,0.777535),h:0,n:0,cr:0;
p:(0.616199,0.806215),h:0,n:0,cr:0;
p:(0.512932,0.839112),h:0,n:0,cr:0;
p:(0.46142,0.819677),h:0,n:0,cr:0;
p:(0.457716,0.780868),h:0,n:0,cr:0;
p:(0.53296,0.84391),h:0,n:0,cr:0;
p:(0.487721,0.795231),h:0,n:0,cr:0;
p:(0.531033,0.821331),h:0,n:0,cr:0;
p:(0.465835,0.828546),h:0,n:0,cr:0;
